Site,Individual,Length_(mm),Damage,Insect_presence,Frass_presence,Fruit_evidence_of_insect,Plant_damage,Number_of_racemes,Fruits_on_plant,Height_(m),Approx_dist_to_Allegheny_(m),Number_of_mature_seeds,Immature_seeds,Seed_length_(mm),,,,,Avg_seed_length_(mm),Note_sub_fruit
1,1,30.7,0,0,0,0,1,9,50,1.07,11,22,0,5.9,5.5,5.2,5,5,5.32,
1,2,36.7,0,0,0,0,0,7,10,1.06,9,15,2,5.5,5.3,5.2,5.7,5.8,5.5,
1,3,27.8,0,0,0,0,1,6,60,1.09,18,13,1,5.2,5.2,5.1,5,4.9,5.08,
1,4,30.7,0,0,0,0,0,19,16,1.08,4,6,12,6,5.9,6.2,5.9,6,6,
1,5,27.5,0,0,0,0,0,13,12,1.04,4,5,5,5.5,5.4,5.7,5.9,5.1,5.52,
1,6,30.4,0,0,0,0,1,12,18,0.97,2,4,1,5.8,5.5,5.6,6,,5.725,
1,7,27.3,0,0,0,0,1,12,67,1.16,9,9,3,5.8,6,6,6,5.3,5.82,
1,8,38.1,1,0,0,1,1,13,43,1.33,9,13,10,5.5,5,5.8,5.4,5.5,5.44,
1,9,25.1,1,0,0,1,1,23,28,1.09,1,5,11,3.6,3,3.1,2.7,2.8,3.04,
1,10,36.1,1,0,0,1,1,8,11,0.98,4,19,5,5.8,5.5,6,6,6.1,5.88,
1,11,35.6,0,0,0,0,NA,NA,NA,NA,NA,8,4,6.6,6.2,6.5,6,6.6,6.38,
1,12,30.3,1,0,1,1,NA,NA,NA,NA,NA,0,5,,,,,,0,
1,13,32.4,0,0,0,0,1,10,53,0.93,5,15,6,5.8,5.9,5.7,6,5.9,5.86,
1,14,37.5,0,0,0,0,1,11,34,0.92,5,15,1,6.2,6,6.3,6,6,6.1,
1,15,35.3,0,1,0,1,1,10,6,0.99,3,24,5,6.9,6.2,5.8,6.1,6.5,6.3,
9,1,20.5,0,0,0,0,NA,NA,NA,NA,NA,11,2,5,4.8,4.8,4.1,4.9,4.72,
9,2,2.8,0,0,0,0,1,10,13,0.91,30,26,2,5.9,6,5.9,6,5.6,5.88,
9,3,26.3,0,0,0,0,0,2,11,0.87,28,16,4,5.8,6,5.6,6,5.9,5.86,
9,4,33.1,0,0,0,0,1,8,19,1,33,19,6,5.8,5.9,5.8,6,5.7,5.84,
9,5,35.3,0,0,0,0,1,5,30,0.71,33,24,3,6.1,5.3,5.6,5.2,5.3,5.5,
9,6,22.7,0,0,0,0,0,7,35,1.03,34,10,4,5.8,6.1,5.9,6.3,6.1,6.04,
9,7,33.3,0,0,0,0,1,3,42,1.34,34,22,0,5.6,5.9,6,6.1,5.8,5.88,
9,8,26.9,0,0,0,0,1,14,59,1.16,36,7,3,5.5,5.6,5.5,5.6,5.5,5.54,
9,9,36.1,0,0,0,0,0,11,36,1.1,37,21,5,5.9,6.2,6,6,6.1,6.04,
